frame,time,sun_area_px,uncovered,frame_max,frame_mean,lx,temp_c,rh_pct,obscuration,sun_alt_deg
0,2026-08-12 19:25:41,7826,1.0008,228.0000,56.0790,9160.7481,,,0.0000,18.2798
1,2026-08-12 19:25:43,7821,1.0001,228.0000,56.0690,9158.1757,,,0.0000,18.2734
2,2026-08-12 19:25:45,7820,1.0000,228.0000,56.0580,9149.0708,,,0.0000,18.2670
3,2026-08-12 19:25:47,7830,1.0013,228.0000,56.0930,9145.5626,,,0.0000,18.2606
4,2026-08-12 19:25:49,7832,1.0015,228.0000,56.0960,9137.8466,,,0.0000,18.2542
5,2026-08-12 19:25:51,7831,1.0014,228.0000,56.0710,9129.7285,,,0.0000,18.2479
6,2026-08-12 19:25:53,7832,1.0015,228.0000,56.0840,9123.1464,,,0.0000,18.2417
7,2026-08-12 19:25:55,7824,1.0005,228.0000,56.0410,9117.7626,,,0.0000,18.2355
8,2026-08-12 19:25:57,7819,0.9999,228.0000,56.0230,9109.5029,,,0.0000,18.2293
9,2026-08-12 19:25:59,7832,1.0015,229.0000,56.0610,9105.4306,,,0.0000,18.2231
10,2026-08-12 19:26:01,7823,1.0004,229.0000,56.0120,9103.3137,,,0.0000,18.2168
11,2026-08-12 19:26:03,7826,1.0008,229.0000,55.9750,9098.7766,,,0.0000,18.2104
12,2026-08-12 19:26:05,7826,1.0008,228.0000,55.9170,9093.2589,,,0.0000,18.2040
13,2026-08-12 19:26:07,7829,1.0012,228.0000,55.9260,9081.5356,35.3000,25.3000,0.0000,18.1976
14,2026-08-12 19:26:09,7822,1.0003,228.0000,55.8910,9077.9234,35.3200,24.3400,0.0000,18.1912
15,2026-08-12 19:26:11,7819,0.9999,228.0000,55.8490,9074.2902,35.3400,23.3800,0.0000,18.1849
16,2026-08-12 19:26:13,7830,1.0013,228.0000,55.8920,9071.8979,35.3600,22.4200,0.0000,18.1787
17,2026-08-12 19:26:15,7823,1.0004,228.0000,55.8490,9068.3723,35.3800,21.4600,0.0000,18.1725
18,2026-08-12 19:26:17,7824,1.0005,228.0000,55.8210,9062.8737,35.4000,20.5000,0.0000,18.1663
19,2026-08-12 19:26:19,7821,1.0001,228.0000,55.7830,9052.8301,35.4000,20.7800,0.0000,18.1601
20,2026-08-12 19:26:21,7824,1.0005,228.0000,55.7570,9052.6133,35.4000,21.0600,0.0000,18.1538
21,2026-08-12 19:26:23,7814,0.9992,228.0000,55.6850,9049.9904,35.4000,21.3400,0.0000,18.1474
22,2026-08-12 19:26:25,7828,1.0010,227.0000,55.7220,9048.3076,35.4000,21.6200,0.0000,18.1410
23,2026-08-12 19:26:27,7828,1.0010,227.0000,55.6930,9044.4500,35.4000,21.9000,0.0000,18.1346
24,2026-08-12 19:26:29,7819,0.9999,228.0000,55.6220,9036.1669,35.4200,21.7200,0.0000,18.1282
25,2026-08-12 19:26:31,7817,0.9996,228.0000,55.5440,9023.7785,35.4400,21.5400,0.0000,18.1219
26,2026-08-12 19:26:33,7835,1.0019,228.0000,55.6090,9018.7647,35.4600,21.3600,0.0000,18.1157
27,2026-08-12 19:26:35,7823,1.0004,227.0000,55.5100,9013.6222,35.4800,21.1800,0.0000,18.1095
28,2026-08-12 19:26:37,7826,1.0008,228.0000,55.4920,9004.3142,35.5000,21.0000,0.0000,18.1033
29,2026-08-12 19:26:39,7843,1.0029,228.0000,55.5440,8997.2783,35.5200,20.9600,0.0000,18.0971
30,2026-08-12 19:26:41,7831,1.0014,227.0000,55.1870,8995.1198,35.5400,20.9200,0.0000,18.0908
31,2026-08-12 19:26:43,7825,1.0006,227.0000,55.2010,8991.8453,35.5600,20.8800,0.0000,18.0844
32,2026-08-12 19:26:45,7829,1.0012,227.0000,55.2070,8987.8955,35.5800,20.8400,0.0000,18.0780
33,2026-08-12 19:26:47,7822,1.0003,227.0000,55.1620,8984.2413,35.6000,20.8000,0.0000,18.0716
34,2026-08-12 19:26:49,7829,1.0012,227.0000,55.1730,8980.9050,35.6200,20.7400,0.0000,18.0652
35,2026-08-12 19:26:51,7820,1.0000,227.0000,55.1560,8978.2665,35.6400,20.6800,0.0000,18.0589
36,2026-08-12 19:26:53,7828,1.0010,227.0000,55.1520,8972.9664,35.6600,20.6200,0.0000,18.0527
37,2026-08-12 19:26:55,7830,1.0013,228.0000,55.1270,8965.9880,35.6800,20.5600,0.0000,18.0465
38,2026-08-12 19:26:57,7825,1.0006,227.0000,55.1080,8961.4883,35.7000,20.5000,0.0000,18.0403
39,2026-08-12 19:26:59,7823,1.0004,227.0000,55.0700,8954.0209,35.7200,20.5800,0.0000,18.0341
40,2026-08-12 19:27:01,7826,1.0008,227.0000,55.0750,8947.2423,35.7400,20.6600,0.0000,18.0278
41,2026-08-12 19:27:03,7827,1.0009,227.0000,55.0750,8942.9234,35.7600,20.7400,0.0000,18.0214
42,2026-08-12 19:27:05,7828,1.0010,227.0000,55.0540,8938.1735,35.7800,20.8200,0.0000,18.0150
43,2026-08-12 19:27:07,7817,0.9996,228.0000,55.0070,8931.4781,35.8000,20.9000,0.0000,18.0086
44,2026-08-12 19:27:09,7827,1.0009,228.0000,55.0010,8926.2163,35.8000,20.9000,0.0000,18.0022
45,2026-08-12 19:27:11,7828,1.0010,228.0000,54.9910,8921.1152,35.8000,20.9000,0.0000,17.9959
46,2026-08-12 19:27:13,7825,1.0006,227.0000,54.9900,8913.5725,35.8000,20.9000,0.0000,17.9897
47,2026-08-12 19:27:15,7828,1.0010,227.0000,54.9340,8904.5781,35.8000,20.9000,0.0000,17.9835
48,2026-08-12 19:27:17,7825,1.0006,227.0000,54.9320,8897.8681,35.8000,20.9000,0.0000,17.9773
49,2026-08-12 19:27:19,7826,1.0008,227.0000,54.9100,8894.0370,35.8400,20.9200,0.0000,17.9711
50,2026-08-12 19:27:21,7825,1.0006,227.0000,54.8890,8891.4694,35.8800,20.9400,0.0000,17.9648
51,2026-08-12 19:27:23,7818,0.9997,227.0000,54.8560,8886.3843,35.9200,20.9600,0.0000,17.9584
52,2026-08-12 19:27:25,7814,0.9992,227.0000,54.7800,8884.0988,35.9600,20.9800,0.0000,17.9520
53,2026-08-12 19:27:27,7821,1.0001,227.0000,54.7990,8877.9982,36.0000,21.0000,0.0000,17.9456
54,2026-08-12 19:27:29,7816,0.9995,226.0000,54.7540,8868.6519,36.0000,20.9000,0.0000,17.9392
55,2026-08-12 19:27:31,7824,1.0005,227.0000,54.7880,8862.4805,36.0000,20.8000,0.0000,17.9329
56,2026-08-12 19:27:33,7823,1.0004,227.0000,54.7750,8858.6862,36.0000,20.7000,0.0000,17.9267
57,2026-08-12 19:27:35,7825,1.0006,228.0000,54.7430,8851.8816,36.0000,20.6000,0.0000,17.9205
58,2026-08-12 19:27:37,7823,1.0004,227.0000,54.7460,8848.8084,36.0000,20.5000,0.0000,17.9143
59,2026-08-12 19:27:39,7828,1.0010,228.0000,54.7300,8842.3513,36.0200,20.4400,0.0000,17.9081
60,2026-08-12 19:27:41,7822,1.0003,227.0000,54.6070,8829.3213,36.0400,20.3800,0.0000,17.9018
61,2026-08-12 19:27:43,7816,0.9995,227.0000,54.6040,8821.5691,36.0600,20.3200,0.0000,17.8954
62,2026-08-12 19:27:45,7820,1.0000,227.0000,54.6070,8819.9804,36.0800,20.2600,0.0000,17.8890
63,2026-08-12 19:27:47,7820,1.0000,227.0000,54.6160,8814.9399,36.1000,20.2000,0.0000,17.8826
64,2026-08-12 19:27:49,7819,0.9999,226.0000,54.5880,8809.2312,36.1200,20.2600,0.0000,17.8762
65,2026-08-12 19:27:51,7816,0.9995,226.0000,54.5640,8802.4972,36.1400,20.3200,0.0000,17.8699
66,2026-08-12 19:27:53,7816,0.9995,226.0000,54.5230,8798.8056,36.1600,20.3800,0.0000,17.8637
67,2026-08-12 19:27:55,7806,0.9982,226.0000,54.5060,8797.5029,36.1800,20.4400,0.0000,17.8575
