time,t_rel,lx,lx_smooth
2026-08-12 19:14:19.445706,0.805,8534.025,10900.980
2026-08-12 19:14:20.445706,1.805,11664.136,10857.983
2026-08-12 19:14:21.445706,2.805,12276.900,10838.138
2026-08-12 19:14:22.445706,3.805,11234.768,10818.293
2026-08-12 19:14:23.445706,4.805,10943.978,10803.105
2026-08-12 19:14:24.445706,5.805,10857.983,10787.918
2026-08-12 19:14:25.445706,6.805,10818.293,10782.518
2026-08-12 19:14:26.445706,7.805,10787.918,10777.118
2026-08-12 19:14:27.445706,8.805,10767.263,10777.118
2026-08-12 19:14:28.445706,9.805,10777.118,10776.240
2026-08-12 19:14:29.445706,10.805,10763.618,10772.528
2026-08-12 19:14:30.445706,11.805,10776.240,10767.263
2026-08-12 19:14:31.445706,12.805,10753.695,10767.128
2026-08-12 19:14:32.445706,13.805,10772.528,10763.618
2026-08-12 19:14:33.445706,14.805,10738.913,10753.695
2026-08-12 19:14:34.445706,15.805,10725.953,10748.768
2026-08-12 19:14:35.445706,16.805,10732.771,10747.013
2026-08-12 19:14:36.445706,17.805,10767.128,10738.980
2026-08-12 19:14:37.445706,18.805,10747.013,10738.913
2026-08-12 19:14:38.445706,19.805,10748.768,10737.766
2026-08-12 19:14:39.445706,20.805,10738.980,10733.580
2026-08-12 19:14:40.445706,21.805,10737.766,10732.771
2026-08-12 19:14:41.445706,22.805,10726.830,10727.641
2026-08-12 19:14:42.445706,23.805,10718.190,10727.641
2026-08-12 19:14:43.445706,24.805,10733.580,10726.830
2026-08-12 19:14:44.445706,25.805,10724.333,10724.333
2026-08-12 19:14:45.445706,26.805,10718.393,10720.688
2026-08-12 19:14:46.445706,27.805,10720.688,10719.338
2026-08-12 19:14:47.445706,28.805,10717.988,10719.338
2026-08-12 19:14:48.445706,29.805,10727.641,10718.528
2026-08-12 19:14:49.445706,30.805,10719.338,10718.393
2026-08-12 19:14:50.445706,31.805,10710.226,10718.393
2026-08-12 19:14:51.445706,32.805,10715.761,10717.988
2026-08-12 19:14:52.445706,33.805,10703.070,10715.761
2026-08-12 19:14:53.445706,34.805,10688.693,10710.226
2026-08-12 19:14:54.445706,35.805,10728.585,10710.226
2026-08-12 19:14:55.445706,36.805,10718.528,10703.678
2026-08-12 19:14:56.445706,37.805,10691.865,10703.476
2026-08-12 19:14:57.445706,38.805,10703.678,10703.476
2026-08-12 19:14:58.445706,39.805,10696.591,10703.070
2026-08-12 19:14:59.445706,40.805,10693.013,10697.400
2026-08-12 19:15:00.445706,41.805,10689.301,10697.400
2026-08-12 19:15:01.445706,42.805,10716.503,10701.248
2026-08-12 19:15:02.445706,43.805,10703.476,10699.021
2026-08-12 19:15:03.445706,44.805,10697.400,10697.400
2026-08-12 19:15:04.445706,45.805,10710.766,10697.400
2026-08-12 19:15:05.445706,46.805,10684.508,10697.400
