time,obscuration,sun_alt_deg
19:00:00,0.0,23.144
19:00:10,0.0,23.112
19:00:20,0.0,23.081
19:00:30,0.0,23.049
19:00:40,0.0,23.018
19:00:50,0.0,22.986
19:01:00,0.0,22.955
19:01:10,0.0,22.923
19:01:20,0.0,22.891
19:01:30,0.0,22.86
19:01:40,0.0,22.828
19:01:50,0.0,22.797
19:02:00,0.0,22.765
19:02:10,0.0,22.733
19:02:20,0.0,22.702
19:02:30,0.0,22.67
19:02:40,0.0,22.639
19:02:50,0.0,22.607
19:03:00,0.0,22.575
19:03:10,0.0,22.544
19:03:20,0.0,22.512
19:03:30,0.0,22.481
19:03:40,0.0,22.449
19:03:50,0.0,22.417
19:04:00,0.0,22.386
19:04:10,0.0,22.354
19:04:20,0.0,22.323
19:04:30,0.0,22.291
19:04:40,0.0,22.259
19:04:50,0.0,22.228
19:05:00,0.0,22.196
19:05:10,0.0,22.165
19:05:20,0.0,22.133
19:05:30,0.0,22.102
19:05:40,0.0,22.07
19:05:50,0.0,22.038
19:06:00,0.0,22.007
19:06:10,0.0,21.975
19:06:20,0.0,21.944
19:06:30,0.0,21.912
19:06:40,0.0,21.88
19:06:50,0.0,21.849
19:07:00,0.0,21.817
19:07:10,0.0,21.786
19:07:20,0.0,21.754
19:07:30,0.0,21.722
19:07:40,0.0,21.691
19:07:50,0.0,21.659
19:08:00,0.0,21.628
19:08:10,0.0,21.596
19:08:20,0.0,21.565
19:08:30,0.0,21.533
19:08:40,0.0,21.501
19:08:50,0.0,21.47
19:09:00,0.0,21.438
19:09:10,0.0,21.407
19:09:20,0.0,21.375
19:09:30,0.0,21.343
19:09:40,0.0,21.312
19:09:50,0.0,21.28
19:10:00,0.0,21.249
19:10:10,0.0,21.217
19:10:20,0.0,21.186
19:10:30,0.0,21.154
19:10:40,0.0,21.122
19:10:50,0.0,21.091
19:11:00,0.0,21.059
19:11:10,0.0,21.028
19:11:20,0.0,20.996
19:11:30,0.0,20.964
19:11:40,0.0,20.933
19:11:50,0.0,20.901
19:12:00,0.0,20.87
19:12:10,0.0,20.838
19:12:20,0.0,20.807
19:12:30,0.0,20.775
19:12:40,0.0,20.743
19:12:50,0.0,20.712
19:13:00,0.0,20.68
19:13:10,0.0,20.649
19:13:20,0.0,20.617
19:13:30,0.0,20.586
19:13:40,0.0,20.554
19:13:50,0.0,20.522
19:14:00,0.0,20.491
19:14:10,0.0,20.459
19:14:20,0.0,20.428
19:14:30,0.0,20.396
19:14:40,0.0,20.365
19:14:50,0.0,20.333
19:15:00,0.0,20.301
19:15:10,0.0,20.27
19:15:20,0.0,20.238
19:15:30,0.0,20.207
19:15:40,0.0,20.175
19:15:50,0.0,20.144
19:16:00,0.0,20.112
19:16:10,0.0,20.08
19:16:20,0.0,20.049
19:16:30,0.0,20.017
19:16:40,0.0,19.986
19:16:50,0.0,19.954
19:17:00,0.0,19.923
19:17:10,0.0,19.891
19:17:20,0.0,19.86
19:17:30,0.0,19.828
19:17:40,0.0,19.796
19:17:50,0.0,19.765
19:18:00,0.0,19.733
19:18:10,0.0,19.702
19:18:20,0.0,19.67
19:18:30,0.0,19.639
19:18:40,0.0,19.607
19:18:50,0.0,19.576
19:19:00,0.0,19.544
19:19:10,0.0,19.512
19:19:20,0.0,19.481
19:19:30,0.0,19.449
19:19:40,0.0,19.418
19:19:50,0.0,19.386
19:20:00,0.0,19.355
19:20:10,0.0,19.323
19:20:20,0.0,19.292
19:20:30,0.0,19.26
19:20:40,0.0,19.229
19:20:50,0.0,19.197
19:21:00,0.0,19.165
19:21:10,0.0,19.134
19:21:20,0.0,19.102
19:21:30,0.0,19.071
19:21:40,0.0,19.039
19:21:50,0.0,19.008
19:22:00,0.0,18.976
19:22:10,0.0,18.945
19:22:20,0.0,18.913
19:22:30,0.0,18.882
19:22:40,0.0,18.85
19:22:50,0.0,18.819
19:23:00,0.0,18.787
19:23:10,0.0,18.755
19:23:20,0.0,18.724
19:23:30,0.0,18.692
19:23:40,0.0,18.661
19:23:50,0.0,18.629
19:24:00,0.0,18.598
19:24:10,0.0,18.566
19:24:20,0.0,18.535
19:24:30,0.0,18.503
19:24:40,0.0,18.472
