time,temp_c,rh_pct,rh_thermal_pct,dew_c,ah_gm3
2026-08-12 19:26:07,35.30,25.30,21.70,12.47,10.18
2026-08-12 19:26:17,35.40,20.50,21.58,9.38,8.29
2026-08-12 19:26:27,35.40,21.90,21.58,10.37,8.86
2026-08-12 19:26:37,35.50,21.00,21.46,9.82,8.54
2026-08-12 19:26:47,35.60,20.80,21.34,9.76,8.50
2026-08-12 19:26:57,35.70,20.50,21.22,9.63,8.42
2026-08-12 19:27:07,35.80,20.90,21.11,10.00,8.63
2026-08-12 19:27:17,35.80,20.90,21.11,10.00,8.63
2026-08-12 19:27:27,36.00,21.00,20.87,10.24,8.76
2026-08-12 19:27:37,36.00,20.50,20.87,9.88,8.55
2026-08-12 19:27:47,36.10,20.20,20.76,9.74,8.47
2026-08-12 19:27:57,36.20,20.50,20.65,10.04,8.64
2026-08-12 19:28:07,36.30,20.70,20.53,10.27,8.77
2026-08-12 19:28:17,36.40,20.60,20.42,10.28,8.77
2026-08-12 19:28:27,36.50,20.60,20.31,10.36,8.82
2026-08-12 19:28:37,36.50,20.40,20.31,10.21,8.73
2026-08-12 19:28:47,36.60,20.40,20.20,10.30,8.78
2026-08-12 19:28:57,36.70,20.10,20.09,10.16,8.70
2026-08-12 19:29:07,36.70,19.70,20.09,9.86,8.52
2026-08-12 19:29:17,36.80,19.20,19.98,9.55,8.35
2026-08-12 19:29:27,36.80,19.50,19.98,9.78,8.48
2026-08-12 19:29:37,36.90,20.30,19.87,10.47,8.87
2026-08-12 19:29:47,36.90,20.50,19.87,10.62,8.96
2026-08-12 19:29:57,37.00,20.10,19.76,10.40,8.83
2026-08-12 19:30:07,37.00,19.50,19.76,9.95,8.57
2026-08-12 19:30:17,37.10,19.80,19.65,10.26,8.74
2026-08-12 19:30:27,37.10,19.90,19.65,10.33,8.79
2026-08-12 19:30:37,37.10,19.60,19.65,10.11,8.66
2026-08-12 19:30:47,37.10,19.10,19.65,9.72,8.43
2026-08-12 19:30:57,37.20,19.60,19.54,10.19,8.70
2026-08-12 19:31:07,37.20,19.60,19.54,10.19,8.70
2026-08-12 19:31:17,37.20,19.60,19.54,10.19,8.70
2026-08-12 19:31:27,37.30,19.60,19.44,10.27,8.74
2026-08-12 19:31:37,37.30,19.70,19.44,10.35,8.79
2026-08-12 19:31:47,37.30,19.90,19.44,10.50,8.88
2026-08-12 19:31:57,37.40,19.20,19.33,10.04,8.61
2026-08-12 19:32:07,37.40,19.40,19.33,10.20,8.70
2026-08-12 19:32:17,37.40,19.30,19.33,10.12,8.66
2026-08-12 19:32:27,37.50,19.40,19.23,10.28,8.75
2026-08-12 19:32:37,37.50,19.60,19.23,10.43,8.84
2026-08-12 19:32:47,37.50,19.70,19.23,10.51,8.88
2026-08-12 19:32:57,37.60,19.60,19.12,10.51,8.88
2026-08-12 19:33:07,37.60,19.80,19.12,10.67,8.97
2026-08-12 19:33:17,37.60,19.20,19.12,10.20,8.70
2026-08-12 19:33:27,37.70,19.00,19.02,10.13,8.65
2026-08-12 19:33:37,37.70,18.60,19.02,9.81,8.47
2026-08-12 19:33:47,37.70,18.20,19.02,9.49,8.29
2026-08-12 19:33:57,37.70,18.50,19.02,9.73,8.43
2026-08-12 19:34:07,37.70,18.40,19.02,9.65,8.38
2026-08-12 19:34:17,37.70,18.70,19.02,9.89,8.52
2026-08-12 19:34:27,37.70,19.10,19.02,10.21,8.70
2026-08-12 19:34:37,37.70,18.80,19.02,9.97,8.56
2026-08-12 19:34:47,37.70,18.30,19.02,9.57,8.33
2026-08-12 19:34:57,37.70,18.50,19.02,9.73,8.43
2026-08-12 19:35:07,37.70,18.40,19.02,9.65,8.38
2026-08-12 19:35:17,37.60,18.20,19.12,9.41,8.25
2026-08-12 19:35:27,37.70,18.50,19.02,9.73,8.43
2026-08-12 19:35:37,37.60,18.50,19.12,9.65,8.38
2026-08-12 19:35:47,37.60,18.50,19.12,9.65,8.38
2026-08-12 19:35:57,37.60,18.80,19.12,9.89,8.52
2026-08-12 19:36:07,37.60,18.60,19.12,9.73,8.43
2026-08-12 19:36:17,37.60,17.90,19.12,9.16,8.11
